service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
26U-GLOBAUX-00-S,1,1,1,1,1,0,0,20260615,20260821
26U-H50U000S-83-S,1,1,1,1,1,0,0,20260615,20260821
26U-H50U000S-83-SV,0,0,0,0,1,0,0,20260615,20260821
26U-H51U000S-83-S,1,1,1,1,1,0,0,20260615,20260821
26U-H51U000S-83-SV,0,0,0,0,1,0,0,20260615,20260821
26U-H54U000S-81-S,1,1,1,1,1,0,0,20260615,20260821
26U-H56U000S-81-S,1,1,1,1,1,0,0,20260615,20260821
26U-H57U000S-81-S,1,1,1,1,1,0,0,20260615,20260821
26U-H58U000S-80-S,1,1,1,1,1,0,0,20260615,20260821
26U-H59U000S-80-S,1,1,1,1,1,0,0,20260615,20260821
26U-H59U000S-80-SV,0,0,0,0,1,0,0,20260615,20260821
26U-H60U000S-86-S,1,1,1,1,1,0,0,20260615,20260821
26U-GLOBAUX-00-A,0,0,0,0,0,1,0,20260620,20260822
26U-H50U000A-82-A,0,0,0,0,0,1,0,20260620,20260822
26U-H51U000A-83-A,0,0,0,0,0,1,0,20260620,20260822
26U-H54U000A-80-A,0,0,0,0,0,1,0,20260620,20260822
26U-H56U000A-80-A,0,0,0,0,0,1,0,20260620,20260822
26U-H57U000A-80-A,0,0,0,0,0,1,0,20260620,20260822
26U-H58U000A-80-A,0,0,0,0,0,1,0,20260620,20260822
26U-H59U000A-80-A,0,0,0,0,0,1,0,20260620,20260822
26U-H60U000A-85-A,0,0,0,0,0,1,0,20260620,20260822
26U-GLOBAUX-00-I,0,0,0,0,0,0,1,20260621,20260823
26U-H50U000I-82-I,0,0,0,0,0,0,1,20260621,20260823
26U-H51U000I-83-I,0,0,0,0,0,0,1,20260621,20260823
26U-H54U000I-80-I,0,0,0,0,0,0,1,20260621,20260823
26U-H56U000I-80-I,0,0,0,0,0,0,1,20260621,20260823
26U-H57U000I-80-I,0,0,0,0,0,0,1,20260621,20260823
26U-H58U000I-80-I,0,0,0,0,0,0,1,20260621,20260823
26U-H59U000I-80-I,0,0,0,0,0,0,1,20260621,20260823
26U-H60U000I-84-I,0,0,0,0,0,0,1,20260621,20260823
26U-GLOBAUX-01-F1,0,0,1,0,0,0,0,20260624,20260624
26U-H50U100F-80-F1,0,0,1,0,0,0,0,20260624,20260624
26U-H51U100F-80-F1,0,0,1,0,0,0,0,20260624,20260624
26U-H54U100F-80-F1,0,0,1,0,0,0,0,20260624,20260624
