service_id,date,exception_type
26U-GLOBAUX-00-S,20260624,2
26U-GLOBAUX-00-S,20260701,2
26S-GLOBAUX-01-S,20260907,2
26S-GLOBAUX-01-S,20261012,2
26S-H50S000S-82-S,20260907,2
26S-H50S000S-82-S,20261012,2
26U-H50U000S-83-S,20260624,2
26U-H50U000S-83-S,20260701,2
26S-H51S000S-81-S,20260907,2
26S-H51S000S-81-S,20261012,2
26U-H51U000S-83-S,20260624,2
26U-H51U000S-83-S,20260701,2
26S-H54S000S-80-S,20260907,2
26S-H54S000S-80-S,20261012,2
26U-H54U000S-81-S,20260624,2
26U-H54U000S-81-S,20260701,2
26S-H56S000S-82-S,20260907,2
26S-H56S000S-82-S,20261012,2
26U-H56U000S-81-S,20260624,2
26U-H56U000S-81-S,20260701,2
26S-H57S000S-80-S,20260907,2
26S-H57S000S-80-S,20261012,2
26U-H57U000S-81-S,20260624,2
26U-H57U000S-81-S,20260701,2
26S-H58S000S-83-S,20260907,2
26S-H58S000S-83-S,20261012,2
26U-H58U000S-80-S,20260624,2
26U-H58U000S-80-S,20260701,2
26S-H59S000S-80-S,20260907,2
26S-H59S000S-80-S,20261012,2
26U-H59U000S-80-S,20260624,2
26U-H59U000S-80-S,20260701,2
26S-H60S000S-83-S,20260907,2
26S-H60S000S-83-S,20261012,2
26U-H60U000S-86-S,20260624,2
26U-H60U000S-86-S,20260701,2
