route_direction_id,route_id,direction_id,direction,direction_legacy
1_0,1,0,Est,EAST
1_1,1,1,Ouest,WEST
2_0,2,0,Nord,NORTH
2_1,2,1,Sud,SOUTH
4_0,4,0,Nord,NORTH
4_1,4,1,Sud,SOUTH
5_0,5,0,Est,EAST
5_1,5,1,Ouest,WEST
10_0,10,0,Sud,SOUTH
10_1,10,1,Nord,NORTH
11_0,11,0,Ouest,WEST
11_1,11,1,Est,EAST
12_0,12,0,Sud,SOUTH
12_1,12,1,Nord,NORTH
13_0,13,0,Sud,SOUTH
13_1,13,1,Nord,NORTH
14_0,14,0,Sud,SOUTH
14_1,14,1,Nord,NORTH
16_0,16,0,Est,EAST
16_1,16,1,Ouest,WEST
17_0,17,0,Sud,SOUTH
17_1,17,1,Nord,NORTH
18_0,18,0,Est,EAST
18_1,18,1,Ouest,WEST
20_0,20,0,Est,EAST
20_1,20,1,Ouest,WEST
22_0,22,0,Est,EAST
22_1,22,1,Ouest,WEST
24_0,24,0,Ouest,WEST
24_1,24,1,Est,EAST
25_0,25,0,Nord,NORTH
25_1,25,1,Sud,SOUTH
26_0,26,0,Est,EAST
26_1,26,1,Ouest,WEST
27_0,27,0,Ouest,WEST
27_1,27,1,Est,EAST
28_0,28,0,Sud,SOUTH
28_1,28,1,Nord,NORTH
29_0,29,0,Est,EAST
29_1,29,1,Ouest,WEST
31_0,31,0,Sud,SOUTH
31_1,31,1,Nord,NORTH
32_0,32,0,Sud,SOUTH
32_1,32,1,Nord,NORTH
33_0,33,0,Sud,SOUTH
33_1,33,1,Nord,NORTH
34_0,34,0,Est,EAST
34_1,34,1,Ouest,WEST
35_0,35,0,Est,EAST
35_1,35,1,Ouest,WEST
36_0,36,0,Est,EAST
36_1,36,1,Ouest,WEST
37_0,37,0,Ouest,WEST
37_1,37,1,Est,EAST
38_0,38,0,Nord,NORTH
38_1,38,1,Sud,SOUTH
39_0,39,0,Est,EAST
39_1,39,1,Ouest,WEST
40_0,40,0,Est,EAST
40_1,40,1,Ouest,WEST
41_0,41,0,Est,EAST
41_1,41,1,Ouest,WEST
43_0,43,0,Est,EAST
43_1,43,1,Ouest,WEST
44_0,44,0,Sud,SOUTH
44_1,44,1,Nord,NORTH
45_0,45,0,Sud,SOUTH
45_1,45,1,Nord,NORTH
47_0,47,0,Est,EAST
47_1,47,1,Ouest,WEST
48_0,48,0,Est,EAST
48_1,48,1,Ouest,WEST
49_0,49,0,Est,EAST
49_1,49,1,Ouest,WEST
50_0,50,0,Est,EAST
50_1,50,1,Ouest,WEST
51_0,51,0,Est,EAST
51_1,51,1,Ouest,WEST
52_0,52,0,Ouest,WEST
52_1,52,1,Est,EAST
54_0,54,0,Est,EAST
54_1,54,1,Ouest,WEST
55_0,55,0,Sud,SOUTH
55_1,55,1,Nord,NORTH
56_0,56,0,Sud,SOUTH
56_1,56,1,Nord,NORTH
57_0,57,0,Sud,SOUTH
57_1,57,1,Nord,NORTH
61_0,61,0,Est,EAST
61_1,61,1,Ouest,WEST
63_0,63,0,Sud,SOUTH
63_1,63,1,Nord,NORTH
64_0,64,0,Sud,SOUTH
64_1,64,1,Nord,NORTH
66_0,66,0,Sud,SOUTH
66_1,66,1,Nord,NORTH
67_0,67,0,Nord,NORTH
67_1,67,1,Sud,SOUTH
68_0,68,0,Est,EAST
68_1,68,1,Ouest,WEST
69_0,69,0,Est,EAST
69_1,69,1,Ouest,WEST
70_0,70,0,Est,EAST
70_1,70,1,Ouest,WEST
71_0,71,0,Sud,SOUTH
71_1,71,1,Nord,NORTH
72_0,72,0,Est,EAST
72_1,72,1,Ouest,WEST
73_0,73,0,Ouest,WEST
73_1,73,1,Est,EAST
74_0,74,0,Nord,NORTH
74_1,74,1,Sud,SOUTH
79_0,79,0,Est,EAST
79_1,79,1,Ouest,WEST
80_0,80,0,Sud,SOUTH
80_1,80,1,Nord,NORTH
81_0,81,0,Nord,NORTH
81_1,81,1,Sud,SOUTH
85_0,85,0,Est,EAST
85_1,85,1,Ouest,WEST
86_0,86,0,Est,EAST
86_1,86,1,Ouest,WEST
90_0,90,0,Est,EAST
90_1,90,1,Ouest,WEST
92_0,92,0,Est,EAST
92_1,92,1,Ouest,WEST
93_0,93,0,Est,EAST
93_1,93,1,Ouest,WEST
94_0,94,0,Sud,SOUTH
94_1,94,1,Nord,NORTH
95_0,95,0,Est,EAST
95_1,95,1,Ouest,WEST
97_0,97,0,Est,EAST
97_1,97,1,Ouest,WEST
99_0,99,0,Est,EAST
99_1,99,1,Ouest,WEST
100_0,100,0,Est,EAST
100_1,100,1,Ouest,WEST
101_0,101,0,Est,EAST
101_1,101,1,Ouest,WEST
102_0,102,0,Est,EAST
102_1,102,1,Ouest,WEST
103_0,103,0,Est,EAST
103_1,103,1,Ouest,WEST
104_0,104,0,Est,EAST
104_1,104,1,Ouest,WEST
105_0,105,0,Est,EAST
105_1,105,1,Ouest,WEST
106_0,106,0,Est,EAST
106_1,106,1,Ouest,WEST
107_0,107,0,Ouest,WEST
107_1,107,1,Est,EAST
108_0,108,0,Est,EAST
108_1,108,1,Ouest,WEST
110_0,110,0,Est,EAST
110_1,110,1,Ouest,WEST
112_0,112,0,Est,EAST
112_1,112,1,Ouest,WEST
113_0,113,0,Est,EAST
113_1,113,1,Ouest,WEST
114_0,114,0,Sud,SOUTH
114_1,114,1,Nord,NORTH
117_0,117,0,Sud,SOUTH
117_1,117,1,Nord,NORTH
119_0,119,0,Est,EAST
119_1,119,1,Ouest,WEST
120_0,120,0,Nord,NORTH
120_1,120,1,Sud,SOUTH
121_0,121,0,Est,EAST
121_1,121,1,Ouest,WEST
123_0,123,0,Sud,SOUTH
123_1,123,1,Nord,NORTH
124_0,124,0,Sud,SOUTH
124_1,124,1,Nord,NORTH
125_0,125,0,Est,EAST
125_1,125,1,Ouest,WEST
127_0,127,0,Nord,NORTH
127_1,127,1,Sud,SOUTH
128_0,128,0,Sud,SOUTH
128_1,128,1,Nord,NORTH
129_0,129,0,Nord,NORTH
129_1,129,1,Sud,SOUTH
131_0,131,0,Sud,SOUTH
131_1,131,1,Nord,NORTH
136_0,136,0,Sud,SOUTH
136_1,136,1,Nord,NORTH
138_0,138,0,Est,EAST
138_1,138,1,Ouest,WEST
139_0,139,0,Sud,SOUTH
139_1,139,1,Nord,NORTH
140_0,140,0,Ouest,WEST
140_1,140,1,Est,EAST
141_0,141,0,Est,EAST
141_1,141,1,Ouest,WEST
144_0,144,0,Est,EAST
144_1,144,1,Ouest,WEST
150_0,150,0,Est,EAST
150_1,150,1,Ouest,WEST
155_0,155,0,Nord,NORTH
155_1,155,1,Sud,SOUTH
160_0,160,0,Est,EAST
160_1,160,1,Ouest,WEST
161_0,161,0,Est,EAST
161_1,161,1,Ouest,WEST
162_0,162,0,Est,EAST
162_1,162,1,Ouest,WEST
164_0,164,0,Est,EAST
164_1,164,1,Ouest,WEST
165_0,165,0,Sud,SOUTH
165_1,165,1,Nord,NORTH
166_0,166,0,Sud,SOUTH
166_1,166,1,Nord,NORTH
168_0,168,0,Sud,SOUTH
168_1,168,1,Nord,NORTH
170_0,170,0,Sud,SOUTH
170_1,170,1,Nord,NORTH
171_0,171,0,Est,EAST
171_1,171,1,Ouest,WEST
172_0,172,0,Sud,SOUTH
172_1,172,1,Nord,NORTH
