route_pattern_id,route_id,direction_id,route_pattern_typicality
1_1071,1,0,0
1_1072,1,1,0
2_166,2,0,0
2_236,2,1,0
2_237,2,0,0
2_238,2,1,0
2_239,2,0,0
4_24,4,1,0
4_25,4,0,0
5_1762,5,1,0
5_1763,5,0,0
10_1,10,0,1
10_2,10,1,1
10_6,10,0,1
11_14,11,0,1
11_17,11,1,1
11_19,11,0,1
11_20,11,1,1
12_1,12,1,1
12_2,12,0,1
12_12,12,1,1
12_13,12,0,1
13_11,13,0,0
13_12,13,1,0
13_13,13,1,1
13_14,13,0,1
13_17,13,0,1
13_18,13,0,0
14_1,14,0,1
14_2,14,1,1
14_9,14,1,1
14_10,14,0,1
16_1,16,1,1
16_3,16,0,1
16_9,16,0,1
16_10,16,1,1
17_11,17,1,0
17_12,17,1,1
17_13,17,0,1
17_14,17,1,1
17_15,17,0,1
17_16,17,1,0
18_18,18,0,1
18_19,18,1,0
18_20,18,0,0
18_21,18,1,1
18_24,18,0,1
18_25,18,1,1
18_26,18,0,0
18_27,18,1,0
20_1,20,1,1
20_4,20,0,1
20_5,20,1,0
20_6,20,0,0
20_7,20,1,1
20_8,20,0,1
20_9,20,0,0
20_10,20,1,0
22_1,22,1,1
22_2,22,0,1
22_8,22,1,1
22_9,22,0,1
24_1,24,1,1
24_2,24,0,1
24_3,24,0,0
24_4,24,1,0
24_21,24,1,0
24_23,24,0,1
24_24,24,1,1
24_25,24,0,0
25_1,25,1,1
25_2,25,0,1
26_1,26,1,0
26_2,26,1,1
26_3,26,0,1
26_8,26,0,1
26_9,26,1,1
27_1,27,0,1
27_2,27,1,1
27_6,27,0,1
27_7,27,1,1
28_3,28,0,0
28_15,28,0,1
28_16,28,1,1
28_17,28,1,0
28_18,28,1,0
28_19,28,1,1
28_20,28,0,1
28_21,28,0,0
28_22,28,1,0
29_1,29,1,1
29_2,29,0,0
29_3,29,0,1
31_8,31,0,1
31_10,31,1,1
31_11,31,1,1
31_12,31,0,1
32_2,32,1,1
32_3,32,0,1
32_19,32,0,1
32_20,32,1,1
33_1,33,0,1
33_2,33,1,1
33_3,33,0,0
33_4,33,1,0
33_5,33,0,0
33_23,33,1,0
33_24,33,0,1
33_25,33,1,1
33_26,33,0,0
33_27,33,0,0
34_1,34,1,1
34_2,34,0,1
34_7,34,0,1
34_8,34,1,1
35_22,35,1,1
35_23,35,0,1
35_36,35,0,1
35_37,35,1,1
36_23,36,1,1
36_24,36,0,1
36_25,36,0,1
36_26,36,1,1
37_1,37,0,1
37_11,37,1,1
37_12,37,1,1
37_13,37,0,1
38_22,38,1,1
38_23,38,0,1
38_24,38,1,1
38_25,38,0,1
39_1,39,0,1
39_2,39,1,1
39_4,39,0,1
39_5,39,1,1
40_1,40,0,1
40_2,40,1,1
40_8,40,1,1
40_9,40,0,1
40_10,40,0,0
40_11,40,1,0
41_2,41,1,1
41_9,41,0,1
41_12,41,1,1
41_13,41,0,1
41_14,41,1,0
43_2,43,0,1
43_14,43,1,1
43_17,43,1,1
43_18,43,0,1
44_1,44,1,1
44_2,44,0,1
44_3,44,0,0
44_13,44,0,1
44_14,44,1,1
44_15,44,0,0
45_2,45,0,0
45_3,45,0,1
45_4,45,1,1
45_15,45,1,1
45_16,45,0,1
45_17,45,0,0
47_1,47,0,1
47_2,47,1,1
47_7,47,0,1
48_7,48,1,1
48_8,48,0,1
48_9,48,1,0
48_10,48,0,0
48_34,48,1,1
48_37,48,1,0
48_38,48,0,0
48_39,48,0,1
49_8,49,0,1
49_35,49,1,1
49_36,49,1,0
49_37,49,1,0
49_38,49,1,1
49_40,49,1,0
49_41,49,1,0
49_43,49,1,0
49_44,49,0,1
49_45,49,0,0
50_14,50,1,1
50_15,50,0,1
50_16,50,0,1
51_1,51,0,1
51_2,51,1,1
51_3,51,1,0
51_4,51,0,0
51_22,51,0,0
51_29,51,1,1
51_30,51,1,0
51_32,51,0,1
51_33,51,0,0
51_34,51,0,0
52_2,52,1,0
52_4,52,1,1
52_5,52,0,1
52_6,52,0,0
52_7,52,0,1
52_8,52,1,0
52_9,52,1,1
52_10,52,0,0
54_13,54,0,1
54_14,54,1,1
54_15,54,0,0
54_16,54,1,0
54_18,54,1,1
54_22,54,1,0
54_23,54,0,1
54_24,54,0,0
55_20,55,1,1
55_21,55,0,1
55_22,55,1,1
55_24,55,0,1
56_2,56,1,1
56_3,56,0,1
56_4,56,0,0
56_5,56,1,0
56_6,56,1,1
56_7,56,0,1
57_1,57,1,1
57_2,57,0,1
57_8,57,0,1
57_9,57,1,1
61_2,61,1,0
61_3,61,0,0
61_5,61,0,1
61_6,61,1,1
61_23,61,1,1
61_24,61,0,1
61_25,61,1,0
61_26,61,0,0
63_1,63,1,1
63_2,63,0,1
63_8,63,0,1
63_9,63,1,1
64_7,64,1,1
64_8,64,0,1
64_9,64,0,1
66_1,66,1,0
66_2,66,0,0
66_3,66,0,1
66_4,66,1,1
66_10,66,0,1
66_11,66,1,1
66_12,66,0,0
66_13,66,1,0
67_1,67,1,1
67_2,67,0,1
67_16,67,0,1
67_17,67,1,1
68_26,68,0,1
68_27,68,1,1
68_28,68,1,0
68_29,68,0,0
68_31,68,0,1
68_32,68,1,1
68_33,68,0,0
68_34,68,1,0
69_27,69,1,1
69_28,69,0,1
69_29,69,0,1
69_31,69,1,1
70_9,70,1,1
70_10,70,0,1
70_11,70,0,0
70_12,70,1,0
70_13,70,0,0
70_14,70,0,1
71_1,71,0,1
71_11,71,1,1
71_12,71,1,1
71_13,71,0,1
72_11,72,1,1
72_12,72,0,1
72_13,72,0,0
72_14,72,1,0
72_21,72,1,1
72_22,72,0,0
72_23,72,0,1
72_24,72,1,0
73_3,73,0,1
73_4,73,0,1
74_1,74,1,1
74_2,74,0,1
74_3,74,1,0
74_7,74,0,1
74_8,74,1,1
74_9,74,1,0
79_1,79,1,1
79_3,79,0,1
79_4,79,0,1
79_8,79,1,1
80_1,80,0,1
80_2,80,1,1
80_3,80,1,0
80_12,80,1,1
80_13,80,0,1
81_22,81,0,1
81_23,81,1,1
81_27,81,0,1
81_28,81,1,1
85_1,85,0,1
85_2,85,1,1
85_13,85,0,1
85_15,85,1,1
86_2,86,0,1
86_3,86,1,1
86_22,86,1,1
86_23,86,0,1
90_3,90,0,0
90_4,90,1,1
90_16,90,0,1
90_18,90,1,1
90_19,90,0,1
90_20,90,0,0
