route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_desc,route_desc_detail
1,STM,1,Ligne 1 - Verte,1,https://www.stm.info/fr/infos/reseaux/metro/ligne-1---verte,00B300,FFFFFF,,
2,STM,2,Ligne 2 - Orange,1,https://www.stm.info/fr/infos/reseaux/metro/ligne-2---orange,D95700,FFFFFF,,
4,STM,4,Ligne 4 - Jaune,1,https://www.stm.info/fr/infos/reseaux/metro/ligne-4---jaune,FFD900,000000,,
5,STM,5,Ligne 5 - Bleue,1,https://www.stm.info/fr/infos/reseaux/metro/ligne-5---bleue,0095E6,FFFFFF,,
10,STM,10,De Lorimier,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
11,STM,11,Parc-du-Mont-Royal,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
12,STM,12,Île-des-Soeurs,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
13,STM,13,Christophe-Colomb,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
14,STM,14,Atateken,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
16,STM,16,Graham,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
17,STM,17,Décarie,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
18,STM,18,Beaubien,3,https://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF,Fréquente,Fréquence aux 2 à 12 minutes entre 6h et 20h du lundi au vendredi (dans les 2 directions)
20,STM,20,Crémazie / Marché Central,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
22,STM,22,Notre-Dame,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
24,STM,24,Sherbrooke,3,https://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF,Fréquente,Fréquence aux 2 à 12 minutes entre 6h et 20h du lundi au vendredi (dans les 2 directions)
25,STM,25,Angus,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
26,STM,26,Mercier-Est,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
27,STM,27,Saint-Joseph,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
28,STM,28,Honoré-Beaugrand,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
29,STM,29,Rachel,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
31,STM,31,Saint-Denis,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
32,STM,32,Lacordaire,3,https://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF,Fréquente pointe,Fréquence aux 2 à 12 minutes de 6h30 à 9h30 et de 15h à 18h du lundi au vendredi (dans la direction la plus achalandée)
33,STM,33,Langelier,3,https://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF,Fréquente pointe,Fréquence aux 2 à 12 minutes de 6h30 à 9h30 et de 15h à 18h du lundi au vendredi (dans la direction la plus achalandée)
34,STM,34,Sainte-Catherine,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
35,STM,35,Griffintown,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
36,STM,36,Monk,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
37,STM,37,Jolicoeur,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
38,STM,38,De l'Église,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
39,STM,39,Des Grandes-Prairies,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
40,STM,40,Henri-Bourassa-Est,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
41,STM,41,Saint-Michel / Ahuntsic,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
43,STM,43,Monselet,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
44,STM,44,Armand-Bombardier,3,https://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF,Fréquente pointe,Fréquence aux 2 à 12 minutes de 6h30 à 9h30 et de 15h à 18h du lundi au vendredi (dans la direction la plus achalandée)
45,STM,45,Papineau,3,https://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF,Fréquente pointe,Fréquence aux 2 à 12 minutes de 6h30 à 9h30 et de 15h à 18h du lundi au vendredi (dans la direction la plus achalandée)
47,STM,47,Masson,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
48,STM,48,Perras,3,https://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF,Fréquente pointe,Fréquence aux 2 à 12 minutes de 6h30 à 9h30 et de 15h à 18h du lundi au vendredi (dans la direction la plus achalandée)
49,STM,49,Maurice-Duplessis,3,https://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF,Fréquente pointe,Fréquence aux 2 à 12 minutes de 6h30 à 9h30 et de 15h à 18h du lundi au vendredi (dans la direction la plus achalandée)
50,STM,50,Vieux-Montréal / Vieux-Port,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
51,STM,51,Édouard-Montpetit,3,https://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF,Fréquente,Fréquence aux 2 à 12 minutes entre 6h et 20h du lundi au vendredi (dans les 2 directions)
52,STM,52,De Liège,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
54,STM,54,Charland / Chabanel,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
55,STM,55,Saint-Laurent,3,https://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF,Fréquente pointe,Fréquence aux 2 à 12 minutes de 6h30 à 9h30 et de 15h à 18h du lundi au vendredi (dans la direction la plus achalandée)
56,STM,56,St-Hubert,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
57,STM,57,Charlevoix,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
61,STM,61,Wellington,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
63,STM,63,Girouard,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
64,STM,64,Grenet,3,https://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF,Fréquente pointe,Fréquence aux 2 à 12 minutes de 6h30 à 9h30 et de 15h à 18h du lundi au vendredi (dans la direction la plus achalandée)
66,STM,66,The Boulevard,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
67,STM,67,Saint-Michel,3,https://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF,Fréquente,Fréquence aux 2 à 12 minutes entre 6h et 20h du lundi au vendredi (dans les 2 directions)
68,STM,68,Pierrefonds,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
69,STM,69,Henri-Bourassa,3,https://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF,Fréquente pointe,Fréquence aux 2 à 12 minutes de 6h30 à 9h30 et de 15h à 18h du lundi au vendredi (dans la direction la plus achalandée)
70,STM,70,Poirier,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
71,STM,71,Pointe-Saint-Charles,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
72,STM,72,Alfred-Nobel,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
73,STM,73,Dalton,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
74,STM,74,Bridge,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
79,STM,79,Gouin,3,https://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF,Jour,Lignes de jour seulement
