shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,route_pattern_id
1_1071,45.446466,-73.603118,10001,1_1071
1_1071,45.451158,-73.593242,10002,1_1071
1_1071,45.457010,-73.581691,20002,1_1071
1_1071,45.459441,-73.572021,30002,1_1071
1_1071,45.461894,-73.567074,40002,1_1071
1_1071,45.471063,-73.566267,50002,1_1071
1_1071,45.478465,-73.569336,60002,1_1071
1_1071,45.482509,-73.580180,70002,1_1071
1_1071,45.490068,-73.585812,80002,1_1071
1_1071,45.495570,-73.579310,90002,1_1071
1_1071,45.500879,-73.574715,100002,1_1071
1_1071,45.504064,-73.571586,110002,1_1071
1_1071,45.508220,-73.568433,120002,1_1071
1_1071,45.511033,-73.564899,130002,1_1071
1_1071,45.515226,-73.561082,140002,1_1071
1_1071,45.518831,-73.555837,150002,1_1071
1_1071,45.523988,-73.552703,160002,1_1071
1_1071,45.533504,-73.552196,170002,1_1071
1_1071,45.541717,-73.554192,180002,1_1071
1_1071,45.546832,-73.551391,190002,1_1071
1_1071,45.553688,-73.551757,200002,1_1071
1_1071,45.560687,-73.547530,210002,1_1071
1_1071,45.569285,-73.547336,220002,1_1071
1_1071,45.576843,-73.546710,230002,1_1071
1_1071,45.582736,-73.543133,240002,1_1071
1_1071,45.589431,-73.539269,250002,1_1071
1_1071,45.596572,-73.535376,260002,1_1071
1_1072,45.596572,-73.535376,10001,1_1072
1_1072,45.589431,-73.539269,10002,1_1072
1_1072,45.582736,-73.543133,20002,1_1072
1_1072,45.576843,-73.546710,30002,1_1072
1_1072,45.569285,-73.547336,40002,1_1072
1_1072,45.560687,-73.547530,50002,1_1072
1_1072,45.553688,-73.551757,60002,1_1072
1_1072,45.546832,-73.551391,70002,1_1072
1_1072,45.541717,-73.554192,80002,1_1072
1_1072,45.533504,-73.552196,90002,1_1072
1_1072,45.523988,-73.552703,100002,1_1072
1_1072,45.518831,-73.555837,110002,1_1072
1_1072,45.515226,-73.561082,120002,1_1072
1_1072,45.511033,-73.564899,130002,1_1072
1_1072,45.508220,-73.568433,140002,1_1072
1_1072,45.504064,-73.571586,150002,1_1072
1_1072,45.500879,-73.574715,160002,1_1072
1_1072,45.495570,-73.579310,170002,1_1072
1_1072,45.490068,-73.585812,180002,1_1072
1_1072,45.482509,-73.580180,190002,1_1072
1_1072,45.478465,-73.569336,200002,1_1072
1_1072,45.471063,-73.566267,210002,1_1072
1_1072,45.461894,-73.567074,220002,1_1072
1_1072,45.459441,-73.572021,230002,1_1072
1_1072,45.457010,-73.581691,240002,1_1072
