table_name,field_name,language,record_id,translation
agency,agency_fare_url,en,STM,https://www.stm.info/en/info/fares
routes,route_url,en,1,https://www.stm.info/en/info/networks/metro/ligne-1---verte
routes,route_long_name,en,1,Line 1 - Green
directions,direction,en,1_0,East
directions,direction,en,1_1,West
routes,route_url,en,2,https://www.stm.info/en/info/networks/metro/ligne-2---orange
routes,route_long_name,en,2,Line 2 - Orange
directions,direction,en,2_0,North
directions,direction,en,2_1,South
routes,route_url,en,4,https://www.stm.info/en/info/networks/metro/ligne-4---jaune
routes,route_long_name,en,4,Line 4 - Yellow
directions,direction,en,4_0,North
directions,direction,en,4_1,South
routes,route_url,en,5,https://www.stm.info/en/info/networks/metro/ligne-5---bleue
routes,route_long_name,en,5,Line 5 - Blue
directions,direction,en,5_0,East
directions,direction,en,5_1,West
routes,route_url,en,10,https://www.stm.info/en/info/networks/bus
directions,direction,en,10_0,South
directions,direction,en,10_1,North
routes,route_desc,en,10,Day
routes,route_desc_detail,en,10,Day routes only
routes,route_url,en,11,https://www.stm.info/en/info/networks/bus
directions,direction,en,11_0,West
directions,direction,en,11_1,East
routes,route_desc,en,11,Day
routes,route_desc_detail,en,11,Day routes only
routes,route_url,en,12,https://www.stm.info/en/info/networks/bus
directions,direction,en,12_0,South
directions,direction,en,12_1,North
routes,route_desc,en,12,Day
routes,route_desc_detail,en,12,Day routes only
routes,route_url,en,13,https://www.stm.info/en/info/networks/bus
directions,direction,en,13_0,South
directions,direction,en,13_1,North
routes,route_desc,en,13,Day
routes,route_desc_detail,en,13,Day routes only
routes,route_url,en,14,https://www.stm.info/en/info/networks/bus
directions,direction,en,14_0,South
directions,direction,en,14_1,North
routes,route_desc,en,14,Day
routes,route_desc_detail,en,14,Day routes only
routes,route_url,en,16,https://www.stm.info/en/info/networks/bus
directions,direction,en,16_0,East
directions,direction,en,16_1,West
routes,route_desc,en,16,Day
routes,route_desc_detail,en,16,Day routes only
routes,route_url,en,17,https://www.stm.info/en/info/networks/bus
directions,direction,en,17_0,South
directions,direction,en,17_1,North
routes,route_desc,en,17,Day
routes,route_desc_detail,en,17,Day routes only
routes,route_url,en,18,https://www.stm.info/en/info/networks/bus
directions,direction,en,18_0,East
directions,direction,en,18_1,West
routes,route_desc,en,18,All-day high-frequency
routes,route_desc_detail,en,18,Departures every 2 to 12 minutes Monday through Friday between 6am and 8pm (in both directions)
routes,route_url,en,20,https://www.stm.info/en/info/networks/bus
directions,direction,en,20_0,East
directions,direction,en,20_1,West
routes,route_desc,en,20,Day
routes,route_desc_detail,en,20,Day routes only
routes,route_url,en,22,https://www.stm.info/en/info/networks/bus
directions,direction,en,22_0,East
directions,direction,en,22_1,West
routes,route_desc,en,22,Day
routes,route_desc_detail,en,22,Day routes only
routes,route_url,en,24,https://www.stm.info/en/info/networks/bus
directions,direction,en,24_0,West
directions,direction,en,24_1,East
routes,route_desc,en,24,All-day high-frequency
routes,route_desc_detail,en,24,Departures every 2 to 12 minutes Monday through Friday between 6am and 8pm (in both directions)
routes,route_url,en,25,https://www.stm.info/en/info/networks/bus
directions,direction,en,25_0,North
directions,direction,en,25_1,South
routes,route_desc,en,25,Day
routes,route_desc_detail,en,25,Day routes only
routes,route_url,en,26,https://www.stm.info/en/info/networks/bus
directions,direction,en,26_0,East
directions,direction,en,26_1,West
routes,route_desc,en,26,Day
routes,route_desc_detail,en,26,Day routes only
routes,route_url,en,27,https://www.stm.info/en/info/networks/bus
directions,direction,en,27_0,West
directions,direction,en,27_1,East
routes,route_desc,en,27,Day
routes,route_desc_detail,en,27,Day routes only
routes,route_url,en,28,https://www.stm.info/en/info/networks/bus
directions,direction,en,28_0,South
directions,direction,en,28_1,North
routes,route_desc,en,28,Day
